key,designer,season,year,category,city,section,width,height,size,aesthetic,tags,url,filename,season_std,silhouette,silhouette_conf,length,length_conf
0790391,Dries Van Noten,Fall,2023,Ready-to-Wear,,Collection,2732,4098,855345,5.17,,https://assets.vogue.com/photos/6400aceb7a354aabe91baed1/00055-dries-van-noten-fall-2023-ready-to-wear-credit-gorunway.jpg,0790391_Dries Van Noten - Fall 2023 Ready-to-Wear [Collection].jpg,FW,a_line,0.26497364,maxi,0.27352023
0366794,Dries Van Noten,Fall,2013,Ready-to-Wear,,Collection,1366,2048,382487,4.73,"['Grace Mahary' 'Long Sleeve' 'Clothing' 'Footwear' 'Apparel' 'Fashion'
 'Person' 'Runway' 'Sleeve' 'Human' 'Shoe']",https://assets.vogue.com/photos/55c6511108298d8be21ae7c5/DRI_4828.1366x2048.JPG,0366794_Dries Van Noten - Fall 2013 Ready-to-Wear [Collection].jpg,FW,oversized,0.27407378,trousers,0.2809602
0443521,Dries Van Noten,Spring,2009,Ready-to-Wear,,Collection,683,1024,102014,4.6,['Clothing' 'Apparel' 'Fashion' 'Blouse' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55c6519b08298d8be224aeb4/00440fullscreen.jpg,0443521_Dries Van Noten - Spring 2009 Ready-to-Wear [Collection].jpg,SS,fitted,0.27402818,trousers,0.27515176
0047004,Balenciaga,Fall,2020,Ready-to-Wear,,Collection,2732,4098,1446723,5.02,"['Long Sleeve' 'Skateboard' 'Clothing' 'Apparel' 'Person' 'Sleeve'
 'Sports' 'Human' 'Pants' 'Sport' 'Stage']",https://assets.vogue.com/photos/5e5b9f4256da1c0008bf7939/_ALE0753.jpg,0047004_Balenciaga - Fall 2020 Ready-to-Wear [Collection].jpg,FW,oversized,0.29842147,trousers,0.30007184
0301642,Gucci,Spring,2009,Ready-to-Wear,,Collection,683,1024,136160,5.22,"['Long Sleeve' 'Toni Garrn' 'Clothing' 'Apparel' 'Fashion' 'Person'
 'Runway' 'Sleeve' 'Human']",https://assets.vogue.com/photos/55c6519908298d8be22495a2/00070fullscreen.jpg,0301642_Gucci - Spring 2009 Ready-to-Wear [Collection].jpg,SS,oversized,0.27350092,trousers,0.27152783
0044618,Balenciaga,Fall,2022,Ready-to-Wear,,Collection,2732,4098,1125367,5.14,['Blizzard' 'Outdoors' 'Nature' 'Person' 'Winter' 'Human' 'Storm' 'Snow'],https://assets.vogue.com/photos/6224f894cb9c17da3b08e237/00044-balenciaga-fall-2022-ready-to-wear-paris-credit-brand.jpg,0044618_Balenciaga - Fall 2022 Ready-to-Wear [Collection].jpg,FW,oversized,0.2650426,midi,0.26504362
0338965,Balenciaga,Spring,2010,Ready-to-Wear,,Collection,683,1024,127893,4.59,['Siri Tollerød' 'Clothing' 'Apparel' 'Person' 'Human' 'Coat'],https://assets.vogue.com/photos/55c651ac08298d8be226033b/00140fullscreen.jpg,0338965_Balenciaga - Spring 2010 Ready-to-Wear [Collection].jpg,SS,fitted,0.27025712,mini,0.27243716
0213478,Gucci,Spring,2021,Ready-to-Wear,,Collection,2732,4098,674696,5.33,"['Accessories' 'Accessory' 'Clothing' 'Apparel' 'Handbag' 'Person' 'Human'
 'Purse' 'Bag' 'Tub']",https://assets.vogue.com/photos/5fb24c07263af2146f4fe89e/00005-Gucci-SS-21.jpg,0213478_Gucci - Spring 2021 Ready-to-Wear [Collection].jpg,SS,oversized,0.26168704,midi,0.26324904
1001894,Gucci,Fall,2019,Ready-to-Wear,,Collection,2732,4098,2120266,5.56,"['Clothing' 'Footwear' 'Overcoat' 'Apparel' 'Person' 'Sleeve' 'Human'
 'Coat' 'Shoe']",https://assets.vogue.com/photos/5c6d73d557b95a2d61524714/_FIO1121.jpg,1001894_Gucci - Fall 2019 Ready-to-Wear [Collection].jpg,FW,oversized,0.26243252,maxi,0.2628635
0075326,Gucci,Spring,2016,Ready-to-Wear,,Collection,2000,3000,1147246,5.5,['Clothing' 'Overcoat' 'Apparel' 'Fashion' 'Person' 'Human' 'Coat'],https://assets.vogue.com/photos/5602b2678ec1a0f23c813744/_GUC0651.jpg,0075326_Gucci - Spring 2016 Ready-to-Wear [Collection].jpg,SS,fitted,0.26619485,mini,0.25298488
0894794,Gucci,Fall,2023,Ready-to-Wear,,Collection,2732,4098,1907478,4.65,,https://assets.vogue.com/photos/63f8dd7b513c830c384610e0/00014-gucci-fall-2023-ready-to-wear-credit-gorunway.jpg,0894794_Gucci - Fall 2023 Ready-to-Wear [Collection].jpg,FW,oversized,0.2846503,trousers,0.2810728
1103301,Dries Van Noten,Fall,2010,Ready-to-Wear,,Collection,683,1024,145001,4.06,"['Monika Jagaciak' 'Accessories' 'Sunglasses' 'Accessory' 'Clothing'
 'Apparel' 'Person' 'Sleeve' 'Human' 'Skirt']",https://assets.vogue.com/photos/55c651bd08298d8be2271cf4/00110fullscreen.jpg,1103301_Dries Van Noten - Fall 2010 Ready-to-Wear [Collection].jpg,FW,oversized,0.2911155,mini,0.28255945
